#
# contig_name	read_name
#
minuta_c8	GO1G54I02HMAZM
minuta_c8	GO1G54I02JNU22
minuta_c8	GO1G54I02I14TV
minuta_c8	GO1G54I02GP7AS
minuta_c8	GO1G54I02HG6A0
minuta_c8	GO1G54I02G4Q2Q
minuta_c8	GO1G54I02GK7VD
minuta_c8	GO1G54I02J3XVP
minuta_c8	GO1G54I02H6YDK
minuta_c8	GO1G54I02GI1XC
minuta_c8	GO1G54I02HBL45
minuta_c8	GO1G54I02GC9ZT
minuta_c8	GO1G54I02GXRVF
minuta_c8	GO1G54I02HO75E
minuta_c8	GO1G54I02JAN2W
minuta_c8	GO1G54I02IJIJW
minuta_c8	GO1G54I02FHRR6
minuta_c8	GO1G54I02FI3M6
minuta_c8	GO1G54I02F34T3
minuta_c8	GO1G54I02GD6ID
minuta_c9	GO1G54I02HVZ6T
minuta_c9	GO1G54I02IIFFU
minuta_c9	GO1G54I02F8P8C
minuta_c9	GO1G54I02H6IYC
minuta_c9	GO1G54I02GE5P7
minuta_c9	GO1G54I02GOKPM
minuta_c9	GO1G54I02GH9NP
minuta_c9	GO1G54I02HICRO
minuta_c9	GO1G54I02GGU00
minuta_c9	GO1G54I02HA830
minuta_c9	GO1G54I02HXUZX
minuta_c9	GO1G54I02I3K4K
minuta_c9	GO1G54I02GAMU6
minuta_c9	GO1G54I02IN4B3
minuta_c9	GO1G54I02ISOLX
minuta_c9	GO1G54I02GVEKP
minuta_c9	GO1G54I02IWZK2
minuta_c9	GO1G54I02I7CEF
minuta_c9	GO1G54I02J5F0G
minuta_c9	GO1G54I02HCDV0
minuta_c9	GO1G54I02HP9T2
minuta_c9	GO1G54I02H7Q8W
minuta_c9	GO1G54I02JTCD8
minuta_c9	GO1G54I02GAR1B
minuta_c9	GO1G54I02G5BAG
minuta_c9	GO1G54I02H00GM
minuta_c9	GO1G54I02JWUY8
minuta_c9	GO1G54I02JE0D4
minuta_c9	GO1G54I02GUDA3
minuta_c9	GO1G54I02JGMYL
minuta_c9	GO1G54I02JXGHI
